GeoUID_csd,Type_csd,Region Name_csd,Area (sq km)_csd,Population_csd,Dwellings_csd,Households_csd,CD_UID_csd,PR_UID_csd,CMA_UID_csd,total_occupied_private_dwellings_csd,single_detached_houses_csd,apartment_in_building_plus_5_csd,semi_detached_house_csd,row_house_csd,apartment_in_duplex_csd,apartment_in_building_less_5_csd,households_more_than_30_csd,median_shelter_costs_owned_csd,median_shelter_costs_rented_csd,single_detached_houses_pct_csd,semi_detached_house_pct_csd,row_house_pct_csd,apartment_in_duplex_pct_csd,apartment_in_building_less_5_pct_csd,apartment_in_building_plus_5_pct_csd,pop_density_csd
3522008,CSD,Amaranth (TP),265.015,4327,1428,1372,3522,35,,1370,1340,0,5,0,20,0,280,2020,1700,0.9781021897810219,0.0036496350364963502,0,0.014598540145985401,0,0,16.327377695602138
3522010,CSD,Grand Valley (T),158.5956,3851,1445,1397,3522,35,,1395,1230,0,5,35,5,110,310,1920,1110,0.8817204301075269,0.0035842293906810036,0.025089605734767026,0.0035842293906810036,0.07885304659498207,0,24.281884238907008
3522012,CSD,Mono (T),278.3715,9421,3327,3131,3522,35,35535,3130,3065,0,5,0,45,15,540,1680,1060,0.9792332268370607,0.001597444089456869,0,0.01437699680511182,0.004792332268370607,0,33.84326340879005
3522014,CSD,Orangeville (T),15.1629,30167,11308,11059,3522,35,35535,11060,6600,565,1265,1245,140,1230,2675,1900,1360,0.596745027124774,0.11437613019891502,0.11256781193490054,0.012658227848101266,0.1112115732368897,0.05108499095840868,1989.5270693600828
3522016,CSD,Mulmur (TP),286.1696,3571,1682,1388,3522,35,,1385,1365,0,5,0,5,10,295,1660,1310,0.9855595667870036,0.0036101083032490976,0,0.0036101083032490976,0.007220216606498195,0,12.478614080601155
3522019,CSD,Melancthon (TP),310.3935,3132,1104,1035,3522,35,,1035,1000,0,15,5,10,0,220,1720,1320,0.966183574879227,0.014492753623188406,0.004830917874396135,0.00966183574879227,0,0,10.090417486190915
3522021,CSD,Shelburne (T),6.5613,8994,3150,3025,3522,35,,3025,2205,0,155,225,75,355,720,1940,1100,0.7289256198347107,0.0512396694214876,0.0743801652892562,0.024793388429752067,0.11735537190082644,0,1370.7649398747199
3523001,CSD,Puslinch (TP),214.8178,7944,2946,2857,3523,35,35550,2855,2680,0,10,10,20,90,445,1500,1170,0.9387040280210157,0.0035026269702276708,0.0035026269702276708,0.0070052539404553416,0.03152364273204904,0,36.98017575824722
3523008,CSD,Guelph (CY),87.4266,143740,59746,56480,3523,35,35550,56480,27445,6510,2530,8610,3620,7715,12905,1600,1350,0.4859242209631728,0.044794617563739376,0.15244334277620397,0.06409348441926345,0.1365970254957507,0.11526203966005666,1644.122040660394
3523009,CSD,Guelph/Eramosa (TP),292.8398,13904,4993,4838,3523,35,35550,4840,4200,0,55,315,75,150,710,1620,1210,0.8677685950413223,0.011363636363636364,0.06508264462809918,0.015495867768595042,0.030991735537190084,0,47.47988490635494
3523017,CSD,Erin (T),298.8125,11981,4396,4220,3523,35,,4220,3860,5,30,5,45,120,720,1880,1200,0.9146919431279621,0.0071090047393364926,0.001184834123222749,0.01066350710900474,0.02843601895734597,0.001184834123222749,40.09537753608032
3523025,CSD,Centre Wellington (TP),409.4126,31093,12701,11972,3523,35,35531,11970,8690,110,570,740,180,1570,1975,1440,1300,0.7259816207184628,0.047619047619047616,0.061821219715956555,0.015037593984962405,0.1311612364243943,0.0091896407685881365,75.94539103095508
3523033,CSD,Mapleton (TP),535.5585,10839,3633,3245,3523,35,,3245,2845,0,160,35,15,135,355,1470,1070,0.8767334360554699,0.04930662557781202,0.01078582434514638,0.004622496147919877,0.04160246533127889,0,20.238685409717146
3523043,CSD,Minto (T),300.1856,9094,3885,3417,3523,35,,3415,2680,5,120,110,35,380,470,1170,990,0.7847730600292826,0.03513909224011713,0.032210834553440704,0.010248901903367497,0.11127379209370425,0.0014641288433382138,30.294591079652054
3523050,CSD,Wellington North (TP),526.3075,12431,4987,4793,3523,35,,4795,3590,5,155,225,35,740,850,1140,1030,0.748696558915537,0.03232533889468196,0.04692387904066736,0.0072992700729927005,0.1543274244004171,0.0010427528675703858,23.619272003534057
3524001,CSD,Oakville (T),138.9434,213759,76179,73558,3524,35,35535,73555,43130,8955,3310,12470,950,4680,19295,2080,2040,0.5863639453470192,0.04500033988172116,0.16953300251512474,0.012915505404119367,0.06362585820134593,0.12174563251988309,1538.460984832673
3524002,CSD,Burlington (CY),186.1219,186948,74891,73180,3524,35,35537,73180,36795,12830,3090,13725,705,5910,16875,1720,1660,0.5028013118338344,0.042224651544137744,0.1875512435091555,0.00963377972123531,0.08075977042907899,0.17532112599070784,1004.4384889687886
3524009,CSD,Milton (T),363.8308,132979,41000,40038,3524,35,35535,40040,22720,2185,3755,9140,295,1920,10075,2320,2200,0.5674325674325674,0.09378121878121878,0.22827172827172826,0.007367632367632368,0.04795204795204795,0.05457042957042957,365.4968188509604
